Название задачи,Дата начала,Дата окончания,Прогресс (%),Статус,Описание,Ответственный
Подготовка участка,2024-01-01,2024-01-07,100,Завершено,Очистка территории и подготовка к строительству,Сидоров А.В.
Земляные работы,2024-01-08,2024-01-20,100,Завершено,Рытье котлована под фундамент,Петров И.И.
Устройство фундамента,2024-01-21,2024-02-10,85,В работе,Заливка бетонного фундамента,Иванов П.С.
Возведение стен первого этажа,2024-02-11,2024-03-15,45,В работе,Кладка кирпичных стен,Козлов В.А.
Перекрытие первого этажа,2024-03-16,2024-03-25,0,Запланировано,Монтаж железобетонных плит,Николаев Д.М.
Возведение стен второго этажа,2024-03-26,2024-04-30,0,Запланировано,Кладка стен второго этажа,Козлов В.А.
Устройство кровли,2024-05-01,2024-05-20,0,Запланировано,Монтаж стропильной системы и кровельного покрытия,Федоров А.Н.
Внутренние работы,2024-05-21,2024-07-15,0,Запланировано,Электромонтаж и сантехнические работы,Морозов С.Т.
Отделочные работы,2024-07-16,2024-09-30,0,Запланировано,Внутренняя отделка помещений,Белов К.Р.
Благоустройство территории,2024-10-01,2024-10-15,0,Запланировано,Ландшафтные работы и асфальтирование,Зеленов Н.П. 
